,QAS,HBD,QAS_xf,conductivity,cathodic_slope,anodic_slope,cathodic_potential,anodic_potential,potential_window,solid
282,Tetraethylammonium Chloride,"N,N-dimethylurea",0.5,,,,,,,True
283,Tetraethylammonium Chloride,"N,N-dimethylurea",0.55,,,,,,,True
284,Tetraethylammonium Chloride,"N,N-dimethylurea",0.6,,,,,,,True
285,Tetraethylammonium Chloride,"N,N-dimethylurea",0.7,,,,,,,True
286,Tetraethylammonium Chloride,"N,N-dimethylurea",0.8,,,,,,,True
287,Tetraethylammonium Chloride,"N,N-dimethylurea",0.9,,,,,,,True
288,Tetraethylammonium Chloride,3-phenylpropionic acid,0.1,0.159,0.23,0.123,-1.541,1.594,3.135,False
289,Tetraethylammonium Chloride,3-phenylpropionic acid,0.2,0.307,0.539,0.416,-1.795,1.165,2.961,False
290,Tetraethylammonium Chloride,3-phenylpropionic acid,0.3,0.404,0.682,0.476,-1.849,1.193,3.042,False
291,Tetraethylammonium Chloride,3-phenylpropionic acid,0.35,0.398,0.701,0.477,-1.878,1.213,3.092,False
292,Tetraethylammonium Chloride,3-phenylpropionic acid,0.4,0.439,0.718,0.491,-2.004,1.261,3.265,False
293,Tetraethylammonium Chloride,3-phenylpropionic acid,0.45,0.412,0.744,0.519,-2.336,1.262,3.599,False
294,Tetraethylammonium Chloride,3-phenylpropionic acid,0.5,,,,,,,True
295,Tetraethylammonium Chloride,3-phenylpropionic acid,0.55,,,,,,,True
296,Tetraethylammonium Chloride,3-phenylpropionic acid,0.6,,,,,,,True
297,Tetraethylammonium Chloride,3-phenylpropionic acid,0.7,,,,,,,True
298,Tetraethylammonium Chloride,3-phenylpropionic acid,0.8,,,,,,,True
299,Tetraethylammonium Chloride,3-phenylpropionic acid,0.9,,,,,,,True
300,Tetraethylammonium Chloride,Urea,0.1,,,,,,,True
301,Tetraethylammonium Chloride,Urea,0.2,,,,,,,True
302,Tetraethylammonium Chloride,Urea,0.3,,,,,,,True
303,Tetraethylammonium Chloride,Urea,0.35,,,,,,,True
304,Tetraethylammonium Chloride,Urea,0.4,,,,,,,True
305,Tetraethylammonium Chloride,Urea,0.45,,,,,,,True
306,Tetraethylammonium Chloride,Urea,0.5,,,,,,,True
307,Tetraethylammonium Chloride,Urea,0.55,,,,,,,True
308,Tetraethylammonium Chloride,Urea,0.6,,,,,,,True
309,Tetraethylammonium Chloride,Urea,0.7,,,,,,,True
310,Tetraethylammonium Chloride,Urea,0.8,,,,,,,True
311,Tetraethylammonium Chloride,Urea,0.9,,,,,,,True
312,Tetraethylammonium Chloride,L-serine,0.1,,,,,,,True
313,Tetraethylammonium Chloride,L-serine,0.2,,,,,,,True
314,Tetraethylammonium Chloride,L-serine,0.3,,,,,,,True
315,Tetraethylammonium Chloride,L-serine,0.35,,,,,,,True
316,Tetraethylammonium Chloride,L-serine,0.4,,,,,,,True
317,Tetraethylammonium Chloride,L-serine,0.45,,,,,,,True
318,Tetraethylammonium Chloride,L-serine,0.5,,,,,,,True
319,Tetraethylammonium Chloride,L-serine,0.55,,,,,,,True
320,Tetraethylammonium Chloride,L-serine,0.6,,,,,,,True
321,Tetraethylammonium Chloride,L-serine,0.7,,,,,,,True
322,Tetraethylammonium Chloride,L-serine,0.8,,,,,,,True
323,Tetraethylammonium Chloride,L-serine,0.9,,,,,,,True
324,Tetraethylammonium Chloride,4-amino triazole,0.1,,,,,,,True
325,Tetraethylammonium Chloride,4-amino triazole,0.2,1.425,1.613,1.179,-1.949,1.062,3.012,False
326,Tetraethylammonium Chloride,4-amino triazole,0.3,,,,,,,True
327,Tetraethylammonium Chloride,4-amino triazole,0.35,,,,,,,True
328,Tetraethylammonium Chloride,4-amino triazole,0.4,,,,,,,True
329,Tetraethylammonium Chloride,4-amino triazole,0.45,,,,,,,True
330,Tetraethylammonium Chloride,4-amino triazole,0.5,1.018,1.274,0.891,-1.851,1.252,3.103,False
331,Tetraethylammonium Chloride,4-amino triazole,0.55,,,,,,,True
332,Tetraethylammonium Chloride,4-amino triazole,0.6,,,,,,,True
333,Tetraethylammonium Chloride,4-amino triazole,0.7,,,,,,,True
334,Tetraethylammonium Chloride,4-amino triazole,0.8,,,,,,,True
335,Tetraethylammonium Chloride,4-amino triazole,0.9,,,,,,,True
336,Tetraethylammonium Chloride,Xylitol,0.1,0.003,0.004,0.002,,,,True
337,Tetraethylammonium Chloride,Xylitol,0.2,0.007,0.021,0.008,,,,True
338,Tetraethylammonium Chloride,Xylitol,0.3,0.023,0.054,0.024,,,,True
339,Tetraethylammonium Chloride,Xylitol,0.35,0.033,0.065,0.042,-3.229,1.421,4.65,False
340,Tetraethylammonium Chloride,Xylitol,0.4,0.051,0.1,0.066,-2.611,1.261,3.872,False
341,Tetraethylammonium Chloride,Xylitol,0.45,0.075,0.142,0.098,-2.409,1.326,3.734,False
342,Tetraethylammonium Chloride,Xylitol,0.5,0.111,0.19,0.144,-2.305,1.301,3.606,False
343,Tetraethylammonium Chloride,Xylitol,0.55,0.131,0.231,0.177,-2.173,1.289,3.463,False
344,Tetraethylammonium Chloride,Xylitol,0.6,0.19,0.32,0.24,-2.029,1.302,3.331,False
345,Tetraethylammonium Chloride,Xylitol,0.7,,,,,,,True
346,Tetraethylammonium Chloride,Xylitol,0.8,,,,,,,True
347,Tetraethylammonium Chloride,Xylitol,0.9,,,,,,,True
348,Tetraethylammonium Chloride,Phenylacetic acid,0.1,,,,,,,True
349,Tetraethylammonium Chloride,Phenylacetic acid,0.2,0.671,1.055,0.849,,,,True
350,Tetraethylammonium Chloride,Phenylacetic acid,0.3,0.686,1.085,0.838,-1.728,1.207,2.935,False
351,Tetraethylammonium Chloride,Phenylacetic acid,0.35,0.616,1.098,0.784,-1.744,1.201,2.945,False
352,Tetraethylammonium Chloride,Phenylacetic acid,0.4,0.651,1.089,0.773,-1.779,1.232,3.011,False
353,Tetraethylammonium Chloride,Phenylacetic acid,0.45,0.69,1.127,0.799,-1.998,1.247,3.244,False
354,Tetraethylammonium Chloride,Phenylacetic acid,0.5,0.743,1.14,0.919,-3.104,1.252,4.356,False
355,Tetraethylammonium Chloride,Phenylacetic acid,0.55,,,,,,,True
356,Tetraethylammonium Chloride,Phenylacetic acid,0.6,,,,,,,True
357,Tetraethylammonium Chloride,Phenylacetic acid,0.7,,,,,,,True
358,Tetraethylammonium Chloride,Phenylacetic acid,0.8,,,,,,,True
359,Tetraethylammonium Chloride,Phenylacetic acid,0.9,,,,,,,True
360,Tetrapropylammonium Bromide,Ethylene Glycol,0.1,2.369,1.869,0.334,,,,True
361,Tetrapropylammonium Bromide,Ethylene Glycol,0.2,1.951,1.845,0.396,,,,True
362,Tetrapropylammonium Bromide,Ethylene Glycol,0.3,1.668,1.722,0.109,,,,True
363,Tetrapropylammonium Bromide,Ethylene Glycol,0.35,,,,,,,True
364,Tetrapropylammonium Bromide,Ethylene Glycol,0.4,,,,,,,True
365,Tetrapropylammonium Bromide,Ethylene Glycol,0.45,,,,,,,True
366,Tetrapropylammonium Bromide,Ethylene Glycol,0.5,,,,,,,True
367,Tetrapropylammonium Bromide,Ethylene Glycol,0.55,,,,,,,True
368,Tetrapropylammonium Bromide,Ethylene Glycol,0.6,,,,,,,True
369,Tetrapropylammonium Bromide,Ethylene Glycol,0.7,,,,,,,True
370,Tetrapropylammonium Bromide,Ethylene Glycol,0.8,,,,,,,True
371,Tetrapropylammonium Bromide,Ethylene Glycol,0.9,,,,,,,True
372,Tetrapropylammonium Bromide,Glycerol,0.1,0.142,0.19,0.158,,,,True
373,Tetrapropylammonium Bromide,Glycerol,0.2,0.238,0.305,0.193,,,,True
374,Tetrapropylammonium Bromide,Glycerol,0.3,0.25,0.348,0.177,,,,True
375,Tetrapropylammonium Bromide,Glycerol,0.35,0.242,0.337,0.159,,,,True
376,Tetrapropylammonium Bromide,Glycerol,0.4,0.218,0.31,0.192,,,,True
377,Tetrapropylammonium Bromide,Glycerol,0.45,0.186,0.269,0.18,,,,True
378,Tetrapropylammonium Bromide,Glycerol,0.5,,,,,,,True
379,Tetrapropylammonium Bromide,Glycerol,0.55,,,,,,,True
380,Tetrapropylammonium Bromide,Glycerol,0.6,,,,,,,True
381,Tetrapropylammonium Bromide,Glycerol,0.7,,,,,,,True
382,Tetrapropylammonium Bromide,Glycerol,0.8,,,,,,,True
383,Tetrapropylammonium Bromide,Glycerol,0.9,,,,,,,True
384,Tetrapropylammonium Bromide,Acetamide,0.1,,,,,,,True
385,Tetrapropylammonium Bromide,Acetamide,0.2,0.495,0.725,0.302,-1.775,1.729,3.504,False
386,Tetrapropylammonium Bromide,Acetamide,0.3,0.196,0.313,0.281,-1.813,1.894,3.708,False
387,Tetrapropylammonium Bromide,Acetamide,0.35,,,,,,,True
388,Tetrapropylammonium Bromide,Acetamide,0.4,,,,,,,True
389,Tetrapropylammonium Bromide,Acetamide,0.45,,,,,,,True
390,Tetrapropylammonium Bromide,Acetamide,0.5,,,,,,,True
391,Tetrapropylammonium Bromide,Acetamide,0.55,,,,,,,True
392,Tetrapropylammonium Bromide,Acetamide,0.6,,,,,,,True
393,Tetrapropylammonium Bromide,Acetamide,0.7,,,,,,,True
394,Tetrapropylammonium Bromide,Acetamide,0.8,,,,,,,True
395,Tetrapropylammonium Bromide,Acetamide,0.9,,,,,,,True
396,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.1,,,,,,,True
397,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.2,,,,,,,True
398,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.3,0.208,0.364,0.297,-1.835,2.874,4.709,False
399,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.35,0.157,0.274,0.229,-1.994,2.904,4.898,False
400,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.4,,,,,,,True
401,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.45,,,,,,,True
402,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.5,,,,,,,True
403,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.55,,,,,,,True
404,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.6,,,,,,,True
405,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.7,,,,,,,True
406,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.8,,,,,,,True
407,Tetrapropylammonium Bromide,"N,N-dimethylurea",0.9,,,,,,,True
408,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.1,,,,,,,True
409,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.2,0.083,0.149,0.109,-1.756,1.177,2.933,False
410,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.3,0.129,0.22,0.17,-2.233,1.015,3.248,False
411,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.35,0.098,0.188,0.132,-2.575,1.054,3.629,False
412,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.4,0.075,0.154,0.105,-2.818,1.128,3.946,False
413,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.45,0.058,0.124,0.079,-2.951,1.506,4.457,False
414,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.5,,,,,,,True
415,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.55,,,,,,,True
416,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.6,,,,,,,True
417,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.7,,,,,,,True
418,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.8,,,,,,,True
419,Tetrapropylammonium Bromide,3-phenylpropionic acid,0.9,,,,,,,True
420,Tetrapropylammonium Bromide,Urea,0.1,,,,,,,True
421,Tetrapropylammonium Bromide,Urea,0.2,,,,,,,True
422,Tetrapropylammonium Bromide,Urea,0.3,,,,,,,True
423,Tetrapropylammonium Bromide,Urea,0.35,,,,,,,True
424,Tetrapropylammonium Bromide,Urea,0.4,,,,,,,True
425,Tetrapropylammonium Bromide,Urea,0.45,,,,,,,True
426,Tetrapropylammonium Bromide,Urea,0.5,,,,,,,True
427,Tetrapropylammonium Bromide,Urea,0.55,,,,,,,True
428,Tetrapropylammonium Bromide,Urea,0.6,,,,,,,True
429,Tetrapropylammonium Bromide,Urea,0.7,,,,,,,True
430,Tetrapropylammonium Bromide,Urea,0.8,,,,,,,True
431,Tetrapropylammonium Bromide,Urea,0.9,,,,,,,True
432,Tetrapropylammonium Bromide,L-serine,0.1,,,,,,,True
433,Tetrapropylammonium Bromide,L-serine,0.2,,,,,,,True
434,Tetrapropylammonium Bromide,L-serine,0.3,,,,,,,True
435,Tetrapropylammonium Bromide,L-serine,0.35,,,,,,,True
436,Tetrapropylammonium Bromide,L-serine,0.4,,,,,,,True
437,Tetrapropylammonium Bromide,L-serine,0.45,,,,,,,True
438,Tetrapropylammonium Bromide,L-serine,0.5,,,,,,,True
439,Tetrapropylammonium Bromide,L-serine,0.55,,,,,,,True
440,Tetrapropylammonium Bromide,L-serine,0.6,,,,,,,True
441,Tetrapropylammonium Bromide,L-serine,0.7,,,,,,,True
442,Tetrapropylammonium Bromide,L-serine,0.8,,,,,,,True
443,Tetrapropylammonium Bromide,L-serine,0.9,,,,,,,True
444,Tetrapropylammonium Bromide,4-amino triazole,0.1,,,,,,,True
445,Tetrapropylammonium Bromide,4-amino triazole,0.2,0.374,0.502,0.427,,,,True
446,Tetrapropylammonium Bromide,4-amino triazole,0.3,0.14,0.24,0.203,,,,True
447,Tetrapropylammonium Bromide,4-amino triazole,0.35,0.105,0.134,0.045,,,,True
448,Tetrapropylammonium Bromide,4-amino triazole,0.4,0.072,0.131,0.098,,,,True
449,Tetrapropylammonium Bromide,4-amino triazole,0.45,,,,,,,True
450,Tetrapropylammonium Bromide,4-amino triazole,0.5,,,,,,,True
451,Tetrapropylammonium Bromide,4-amino triazole,0.55,,,,,,,True
452,Tetrapropylammonium Bromide,4-amino triazole,0.6,,,,,,,True
453,Tetrapropylammonium Bromide,4-amino triazole,0.7,,,,,,,True
454,Tetrapropylammonium Bromide,4-amino triazole,0.8,,,,,,,True
455,Tetrapropylammonium Bromide,4-amino triazole,0.9,,,,,,,True
456,Tetrapropylammonium Bromide,Xylitol,0.1,0.001,0.003,0.001,,,,True
457,Tetrapropylammonium Bromide,Xylitol,0.2,0.004,0.009,0.004,,,,True
458,Tetrapropylammonium Bromide,Xylitol,0.3,0.008,0.019,0.012,,,,True
459,Tetrapropylammonium Bromide,Xylitol,0.35,0.011,0.024,0.012,,,,True
460,Tetrapropylammonium Bromide,Xylitol,0.4,0.012,0.029,0.014,,,,True
461,Tetrapropylammonium Bromide,Xylitol,0.45,0.015,0.035,0.022,,,,True
462,Tetrapropylammonium Bromide,Xylitol,0.5,0.015,0.035,0.02,,,,True
463,Tetrapropylammonium Bromide,Xylitol,0.55,0.016,0.042,0.022,,,,True
464,Tetrapropylammonium Bromide,Xylitol,0.6,,,,,,,True
465,Tetrapropylammonium Bromide,Xylitol,0.7,,,,,,,True
466,Tetrapropylammonium Bromide,Xylitol,0.8,,,,,,,True
467,Tetrapropylammonium Bromide,Xylitol,0.9,,,,,,,True
468,Tetrapropylammonium Bromide,Phenylacetic acid,0.1,,,,,,,True
469,Tetrapropylammonium Bromide,Phenylacetic acid,0.2,0.292,0.443,0.355,,,,True
470,Tetrapropylammonium Bromide,Phenylacetic acid,0.3,0.21,0.413,0.295,-1.972,0.936,2.908,False
471,Tetrapropylammonium Bromide,Phenylacetic acid,0.35,0.165,0.337,0.224,-2.158,1.094,3.252,False
472,Tetrapropylammonium Bromide,Phenylacetic acid,0.4,0.122,0.244,0.165,-2.601,1.312,3.913,False
473,Tetrapropylammonium Bromide,Phenylacetic acid,0.45,0.101,0.204,0.139,-2.602,1.562,4.164,False
474,Tetrapropylammonium Bromide,Phenylacetic acid,0.5,,,,,,,True
475,Tetrapropylammonium Bromide,Phenylacetic acid,0.55,,,,,,,True
476,Tetrapropylammonium Bromide,Phenylacetic acid,0.6,,,,,,,True
477,Tetrapropylammonium Bromide,Phenylacetic acid,0.7,,,,,,,True
478,Tetrapropylammonium Bromide,Phenylacetic acid,0.8,,,,,,,True
479,Tetrapropylammonium Bromide,Phenylacetic acid,0.9,,,,,,,True
480,Tetraethylammonium Iodide,Ethylene Glycol,0.1,,,,,,,True
481,Tetraethylammonium Iodide,Ethylene Glycol,0.2,,,,,,,True
482,Tetraethylammonium Iodide,Ethylene Glycol,0.3,,,,,,,True
483,Tetraethylammonium Iodide,Ethylene Glycol,0.35,,,,,,,True
484,Tetraethylammonium Iodide,Ethylene Glycol,0.4,,,,,,,True
485,Tetraethylammonium Iodide,Ethylene Glycol,0.45,,,,,,,True
486,Tetraethylammonium Iodide,Ethylene Glycol,0.5,,,,,,,True
487,Tetraethylammonium Iodide,Ethylene Glycol,0.55,,,,,,,True
488,Tetraethylammonium Iodide,Ethylene Glycol,0.6,,,,,,,True
489,Tetraethylammonium Iodide,Ethylene Glycol,0.7,,,,,,,True
490,Tetraethylammonium Iodide,Ethylene Glycol,0.8,,,,,,,True
491,Tetraethylammonium Iodide,Ethylene Glycol,0.9,,,,,,,True
492,Tetraethylammonium Iodide,Glycerol,0.1,,,,,,,True
493,Tetraethylammonium Iodide,Glycerol,0.2,,,,,,,True
494,Tetraethylammonium Iodide,Glycerol,0.3,,,,,,,True
495,Tetraethylammonium Iodide,Glycerol,0.35,,,,,,,True
496,Tetraethylammonium Iodide,Glycerol,0.4,,,,,,,True
497,Tetraethylammonium Iodide,Glycerol,0.45,,,,,,,True
498,Tetraethylammonium Iodide,Glycerol,0.5,,,,,,,True
499,Tetraethylammonium Iodide,Glycerol,0.55,,,,,,,True
500,Tetraethylammonium Iodide,Glycerol,0.6,,,,,,,True
501,Tetraethylammonium Iodide,Glycerol,0.7,,,,,,,True
502,Tetraethylammonium Iodide,Glycerol,0.8,,,,,,,True
503,Tetraethylammonium Iodide,Glycerol,0.9,,,,,,,True
504,Tetraethylammonium Iodide,Acetamide,0.1,,,,,,,True
505,Tetraethylammonium Iodide,Acetamide,0.2,,,,,,,True
506,Tetraethylammonium Iodide,Acetamide,0.3,,,,,,,True
507,Tetraethylammonium Iodide,Acetamide,0.35,,,,,,,True
508,Tetraethylammonium Iodide,Acetamide,0.4,,,,,,,True
509,Tetraethylammonium Iodide,Acetamide,0.45,,,,,,,True
510,Tetraethylammonium Iodide,Acetamide,0.5,,,,,,,True
511,Tetraethylammonium Iodide,Acetamide,0.55,,,,,,,True
512,Tetraethylammonium Iodide,Acetamide,0.6,,,,,,,True
513,Tetraethylammonium Iodide,Acetamide,0.7,,,,,,,True
514,Tetraethylammonium Iodide,Acetamide,0.8,,,,,,,True
515,Tetraethylammonium Iodide,Acetamide,0.9,,,,,,,True
516,Tetraethylammonium Iodide,"N,N-dimethylurea",0.1,,,,,,,True
517,Tetraethylammonium Iodide,"N,N-dimethylurea",0.2,,,,,,,True
518,Tetraethylammonium Iodide,"N,N-dimethylurea",0.3,,,,,,,True
519,Tetraethylammonium Iodide,"N,N-dimethylurea",0.35,,,,,,,True
520,Tetraethylammonium Iodide,"N,N-dimethylurea",0.4,,,,,,,True
521,Tetraethylammonium Iodide,"N,N-dimethylurea",0.45,,,,,,,True
522,Tetraethylammonium Iodide,"N,N-dimethylurea",0.5,,,,,,,True
523,Tetraethylammonium Iodide,"N,N-dimethylurea",0.55,,,,,,,True
524,Tetraethylammonium Iodide,"N,N-dimethylurea",0.6,,,,,,,True
525,Tetraethylammonium Iodide,"N,N-dimethylurea",0.7,,,,,,,True
526,Tetraethylammonium Iodide,"N,N-dimethylurea",0.8,,,,,,,True
527,Tetraethylammonium Iodide,"N,N-dimethylurea",0.9,,,,,,,True
528,Tetraethylammonium Iodide,3-phenylpropionic acid,0.1,,,,,,,True
529,Tetraethylammonium Iodide,3-phenylpropionic acid,0.2,,,,,,,True
530,Tetraethylammonium Iodide,3-phenylpropionic acid,0.3,,,,,,,True
531,Tetraethylammonium Iodide,3-phenylpropionic acid,0.35,,,,,,,True
532,Tetraethylammonium Iodide,3-phenylpropionic acid,0.4,,,,,,,True
533,Tetraethylammonium Iodide,3-phenylpropionic acid,0.45,,,,,,,True
534,Tetraethylammonium Iodide,3-phenylpropionic acid,0.5,,,,,,,True
535,Tetraethylammonium Iodide,3-phenylpropionic acid,0.55,,,,,,,True
536,Tetraethylammonium Iodide,3-phenylpropionic acid,0.6,,,,,,,True
537,Tetraethylammonium Iodide,3-phenylpropionic acid,0.7,,,,,,,True
538,Tetraethylammonium Iodide,3-phenylpropionic acid,0.8,,,,,,,True
539,Tetraethylammonium Iodide,3-phenylpropionic acid,0.9,,,,,,,True
540,Tetraethylammonium Iodide,Urea,0.1,,,,,,,True
541,Tetraethylammonium Iodide,Urea,0.2,,,,,,,True
542,Tetraethylammonium Iodide,Urea,0.3,,,,,,,True
543,Tetraethylammonium Iodide,Urea,0.35,,,,,,,True
544,Tetraethylammonium Iodide,Urea,0.4,,,,,,,True
545,Tetraethylammonium Iodide,Urea,0.45,,,,,,,True
546,Tetraethylammonium Iodide,Urea,0.5,,,,,,,True
547,Tetraethylammonium Iodide,Urea,0.55,,,,,,,True
548,Tetraethylammonium Iodide,Urea,0.6,,,,,,,True
549,Tetraethylammonium Iodide,Urea,0.7,,,,,,,True
550,Tetraethylammonium Iodide,Urea,0.8,,,,,,,True
551,Tetraethylammonium Iodide,Urea,0.9,,,,,,,True
552,Tetraethylammonium Iodide,L-serine,0.1,,,,,,,True
553,Tetraethylammonium Iodide,L-serine,0.2,,,,,,,True
554,Tetraethylammonium Iodide,L-serine,0.3,,,,,,,True
555,Tetraethylammonium Iodide,L-serine,0.35,,,,,,,True
556,Tetraethylammonium Iodide,L-serine,0.4,,,,,,,True
557,Tetraethylammonium Iodide,L-serine,0.45,,,,,,,True
558,Tetraethylammonium Iodide,L-serine,0.5,,,,,,,True
559,Tetraethylammonium Iodide,L-serine,0.55,,,,,,,True
560,Tetraethylammonium Iodide,L-serine,0.6,,,,,,,True
561,Tetraethylammonium Iodide,L-serine,0.7,,,,,,,True
562,Tetraethylammonium Iodide,L-serine,0.8,,,,,,,True
563,Tetraethylammonium Iodide,L-serine,0.9,,,,,,,True
564,Tetraethylammonium Iodide,4-amino triazole,0.1,,,,,,,True
565,Tetraethylammonium Iodide,4-amino triazole,0.2,,,,,,,True
566,Tetraethylammonium Iodide,4-amino triazole,0.3,,,,,,,True
567,Tetraethylammonium Iodide,4-amino triazole,0.35,,,,,,,True
568,Tetraethylammonium Iodide,4-amino triazole,0.4,,,,,,,True
569,Tetraethylammonium Iodide,4-amino triazole,0.45,,,,,,,True
570,Tetraethylammonium Iodide,4-amino triazole,0.5,,,,,,,True
571,Tetraethylammonium Iodide,4-amino triazole,0.55,,,,,,,True
572,Tetraethylammonium Iodide,4-amino triazole,0.6,,,,,,,True
573,Tetraethylammonium Iodide,4-amino triazole,0.7,,,,,,,True
574,Tetraethylammonium Iodide,4-amino triazole,0.8,,,,,,,True
575,Tetraethylammonium Iodide,4-amino triazole,0.9,,,,,,,True
576,Tetraethylammonium Iodide,Xylitol,0.1,,,,,,,True
577,Tetraethylammonium Iodide,Xylitol,0.2,,,,,,,True
578,Tetraethylammonium Iodide,Xylitol,0.3,,,,,,,True
579,Tetraethylammonium Iodide,Xylitol,0.35,,,,,,,True
580,Tetraethylammonium Iodide,Xylitol,0.4,,,,,,,True
581,Tetraethylammonium Iodide,Xylitol,0.45,,,,,,,True
582,Tetraethylammonium Iodide,Xylitol,0.5,,,,,,,True
583,Tetraethylammonium Iodide,Xylitol,0.55,,,,,,,True
584,Tetraethylammonium Iodide,Xylitol,0.6,,,,,,,True
585,Tetraethylammonium Iodide,Xylitol,0.7,,,,,,,True
586,Tetraethylammonium Iodide,Xylitol,0.8,,,,,,,True
587,Tetraethylammonium Iodide,Xylitol,0.9,,,,,,,True
588,Tetraethylammonium Iodide,Phenylacetic acid,0.1,,,,,,,True
589,Tetraethylammonium Iodide,Phenylacetic acid,0.2,,,,,,,True
590,Tetraethylammonium Iodide,Phenylacetic acid,0.3,,,,,,,True
591,Tetraethylammonium Iodide,Phenylacetic acid,0.35,,,,,,,True
592,Tetraethylammonium Iodide,Phenylacetic acid,0.4,,,,,,,True
593,Tetraethylammonium Iodide,Phenylacetic acid,0.45,,,,,,,True
594,Tetraethylammonium Iodide,Phenylacetic acid,0.5,,,,,,,True
595,Tetraethylammonium Iodide,Phenylacetic acid,0.55,,,,,,,True
596,Tetraethylammonium Iodide,Phenylacetic acid,0.6,,,,,,,True
597,Tetraethylammonium Iodide,Phenylacetic acid,0.7,,,,,,,True
598,Tetraethylammonium Iodide,Phenylacetic acid,0.8,,,,,,,True
599,Tetraethylammonium Iodide,Phenylacetic acid,0.9,,,,,,,True
